Default Report
Last Modified: 2018-03-25 15:18:48 HKT


Q2 - 性別
#,Answer,%,Count
1,男,27.98%,61
2,女,72.02%,157
,Total,100%,218

Q2 - 年齡
#,Answer,%,Count
1,18歲以下,0.92%,2
2,18歲至30歲,85.32%,186
3,31歲至40歲,2.29%,5
4,41歲至50歲,10.09%,22
5,50歲以上,1.38%,3
,Total,100%,218

Q3 - 您的受教育程度
#,Answer,%,Count
1,小學,0.92%,2
2,初中,0.00%,0
3,高中,2.29%,5
4,專科,4.59%,10
5,大學本科,85.78%,187
6,碩士,6.42%,14
7,博士,0.00%,0
8,其他,0.00%,0
,Total,100%,218

Q4 - 當您看見一則與兒童受到性侵犯有關的新聞報導（文字，圖片或視頻），您會產生以下哪種情緒？（多選）
#,Answer,%,Count
1,憤怒,33.16%,194
2,恐懼,15.38%,90
3,悲傷,22.05%,129
4,冷漠,1.03%,6
5,平淡,0.68%,4
6,驚訝,7.69%,45
7,同情,17.61%,103
8,興奮,0.51%,3
9,其他，如有，請列出,1.88%,11
,Total,100%,585

Q4_9_TEXT - 其他，如有，請列出
其他，如有，請列出-文字
噁心
恶心 心疼
惋惜
无奈
"开心
激动
"
絕望
疑惑
感到恶心
噁心
习以为常

Q5 - 您認為，中國內地兒童中，男童與女童受到性侵犯的現狀是：
#,Answer,%,Count
1,男童多於女童,3.21%,7
2,男童少於女童,70.64%,154
3,差不多,26.15%,57
,Total,100%,218

Q6 - 您認為，在中國內地，城市與農村發生兒童性侵犯事件的現狀是：
#,Answer,%,Count
1,城市多於農村,13.30%,29
2,城市少於農村,65.60%,143
3,差不多,21.10%,46
,Total,100%,218

Q7 - 假如您的孩子受到了性侵犯，在未來的家庭關係中，您將會：（多選）
#,Answer,%,Count
1,與孩子斷絕關係或拋棄孩子,0.15%,1
2,極其厭惡孩子,0.15%,1
3,刻意疏遠、冷漠對待孩子,0.15%,1
4,為此感到羞恥,1.76%,12
5,認為這是不祥預兆,0.29%,2
6,認為孩子不貞潔,0.29%,2
7,迴避及隱瞞事實,1.47%,10
8,極力保護孩子（如將孩子關在家中、限制其自由等）,5.28%,36
9,加強與孩子的溝通,30.06%,205
10,尋求法律保護,29.77%,203
11,加強對孩子的性教育,29.77%,203
12,其他，如有，請列出：,0.88%,6
,Total,100%,682

其他，如有，請列出：
其他，如有，請列出：-文字
加強其體能訓練
指引孩子走出心理阴影
呼吁社会关注儿童的生理安全和心理健康
寻求心理医生的指导

Q8 - 您覺得中國內地兒童何時開始接受性教育比較合適？
#,Answer,%,Count
1,0至2歲,4.13%,9
2,2至6歲,46.33%,101
3,6歲至12歲,41.28%,90
4,12歲至16歲,7.80%,17
5,16歲至20歲,0.46%,1
6,20歲以後,0.00%,0
,Total,100%,218

Q9 - 您認為，以下兒童可能接受性教育的渠道中，有效程度及重要性從高到低依次為：
#,Question,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,Total
1,新聞媒體（如報紙、電視、廣播等）,3.21%,7,4.13%,9,11.47%,25,17.43%,38,17.89%,39,22.48%,49,15.60%,34,5.50%,12,2.29%,5,0.00%,0,218
2,課外讀物,1.38%,3,4.59%,10,18.35%,40,16.97%,37,19.27%,42,9.63%,21,15.60%,34,11.01%,24,2.75%,6,0.46%,1,218
3,學校,16.51%,36,48.17%,105,18.35%,40,8.26%,18,4.59%,10,1.83%,4,2.29%,5,0.00%,0,0.00%,0,0.00%,0,218
4,網絡,5.96%,13,4.59%,10,9.63%,21,15.14%,33,16.97%,37,17.89%,39,10.09%,22,11.01%,24,8.72%,19,0.00%,0,218
5,影視作品,2.29%,5,2.29%,5,7.34%,16,6.88%,15,15.60%,34,16.06%,35,14.68%,32,20.18%,44,13.76%,30,0.92%,2,218
6,家庭,65.14%,142,22.02%,48,2.75%,6,2.29%,5,0.92%,2,4.59%,10,0.92%,2,0.92%,2,0.46%,1,0.00%,0,218
7,同學及朋友,0.92%,2,7.80%,17,14.22%,31,11.93%,26,11.47%,25,10.09%,22,17.43%,38,11.47%,25,13.76%,30,0.92%,2,218
8,社會工作者,0.46%,1,1.38%,3,3.21%,7,10.09%,22,3.21%,7,8.72%,19,12.39%,27,25.23%,55,31.19%,68,4.13%,9,218
9,政府宣傳及法律普及,4.13%,9,5.05%,11,14.68%,32,11.01%,24,10.09%,22,8.26%,18,10.55%,23,10.09%,22,21.56%,47,4.59%,10,218
10,其他，如有，請列出：,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.46%,1,0.46%,1,4.59%,10,5.96%,13,88.53%,193,218

Q9_10_TEXT - 其他，如有，請列出：
其他，如有，請列出：-文字
10
小说

Q10 - 您是否LGBTI人士（同性戀／雙性戀／跨性別人士／雙性人）？
#,Answer,%,Count
1,是,7.34%,16
2,否,86.70%,189
3,不方便透露,5.96%,13
